Code,Title,Rating,Rating Count,Rank,Rating Mean
tt7366338,Chernobyl,9.1,"5,431",12,9.3
tt9253866,Our Planet,9.3,"8,356",6,9.2625
tt2560140,Attack on Titan,8.7,"109,643",66,9.258823529411764
tt8595766,Yeh Meri Family,8.5,"15,026",159,9.200000000000001
tt2395695,Cosmos,9.2,"94,934",9,9.076923076923075
tt3322312,Daredevil,8.6,"326,756",101,9.023076923076925
tt0944947,Game of Thrones,9.4,"1,477,002",3,9.018055555555556
tt4269716,Umbre,8.5,"5,697",179,9.007142857142858
tt4508902,One Punch Man,8.8,"81,313",34,8.999999999999998
tt2433738,Wentworth,8.5,"14,125",205,8.984285714285717
tt4158110,Mr. Robot,8.5,"275,557",185,8.924999999999999
tt0903747,Breaking Bad,9.4,"1,185,584",5,8.911290322580646
tt7221388,Cobra Kai,8.7,"31,144",58,8.909999999999998
tt0081846,Cosmos,9.2,"30,894",10,8.907692307692308
tt2802850,Fargo,8.9,"269,673",26,8.906666666666666
tt0072500,Fawlty Towers,8.8,"75,636",55,8.9
tt2243973,Hannibal,8.5,"201,191",186,8.9
tt2442560,Peaky Blinders,8.7,"190,817",57,8.891666666666667
tt1641384,Young Justice,8.6,"27,090",96,8.876271186440679
tt0075520,Jesus of Nazareth,8.5,"17,456",198,8.850000000000001
tt3032476,Better Call Saul,8.6,"245,742",84,8.842499999999998
tt1984119,Feud,8.5,"13,993",167,8.8375
tt7562112,Pose,8.3,"7,333",241,8.8375
tt1227926,Dr. Horrible's Sing-Along Blog,8.5,"39,654",169,8.833333333333334
tt3647998,Taboo,8.4,"98,876",220,8.822222222222221
tt1475582,Sherlock,9.1,"698,423",17,8.82
tt0193676,Freaks and Geeks,8.8,"118,018",50,8.805555555555557
tt6958022,The Defiant Ones,8.5,"8,662",140,8.8
tt4742876,TVF Pitchers,8.8,"43,636",53,8.8
tt2401256,The Night Of,8.5,"98,096",155,8.799999999999999
tt0096548,Blackadder Goes Forth,8.7,"43,009",61,8.799999999999999
tt5994364,Sseulsseulhago Chalranhashin: Dokkaebi,8.5,"5,576",173,8.7875
tt0071075,The World at War,9.1,"18,147",14,8.765384615384612
tt1865718,Gravity Falls,8.8,"51,899",46,8.746341463414636
tt1695360,The Legend of Korra,8.4,"85,000",216,8.740384615384615
tt5675620,The Punisher,8.5,"146,061",153,8.738461538461538
tt2707408,Narcos,8.8,"289,434",49,8.733333333333333
tt0070644,Scenes from a Marriage,8.4,"13,718",210,8.733333333333333
tt6763664,The Haunting of Hill House,8.7,"111,538",73,8.72
tt2297757,Nathan for You,8.7,"13,631",68,8.71875
tt1586680,Shameless,8.6,"169,404",119,8.712727272727273
tt5687612,Fleabag,8.3,"17,160",243,8.708333333333332
tt4574334,Stranger Things,8.8,"582,749",43,8.705882352941178
tt2303687,Line of Duty,8.5,"19,206",142,8.700000000000001
tt0141842,The Sopranos,9.1,"249,831",13,8.696511627906977
tt3230854,The Expanse,8.3,"68,988",239,8.69166666666667
