Code,Title,Season,Rating Mean,Episode Max,Rating,Rating Count,Rank
tt2560140,Attack on Titan,2,9.408333333333333,12,8.7,"109,643",66
tt4508902,One Punch Man,1,9.35,12,8.8,"81,313",34
tt0944947,Game of Thrones,4,9.33,10,9.4,"1,477,002",3
tt4269716,Umbre,2,9.316666666666668,6,8.5,"5,697",179
tt2356777,True Detective,1,9.3,8,9.0,"437,339",25
tt0903747,Breaking Bad,5,9.293750000000003,16,9.4,"1,185,584",5
tt0278238,Samurai Jack,5,9.28,10,8.4,"39,384",223
tt0081912,Only Fools and Horses....,8,9.266666666666667,3,8.8,"40,452",40
tt9253866,Our Planet,1,9.262500000000001,8,9.3,"8,356",6
tt2560140,Attack on Titan,3,9.257142857142856,14,8.7,"109,643",66
tt2433738,Wentworth,4,9.249999999999998,12,8.5,"14,125",205
tt1475582,Sherlock,2,9.233333333333333,3,9.1,"698,423",17
tt0081912,Only Fools and Horses....,6,9.214285714285714,7,8.8,"40,452",40
tt0944947,Game of Thrones,7,9.214285714285714,7,9.4,"1,477,002",3
tt1632701,Suits,5,9.20625,16,8.4,"324,466",226
tt8595766,Yeh Meri Family,1,9.200000000000001,7,8.5,"15,026",159
tt2560140,Attack on Titan,1,9.187999999999999,25,8.7,"109,643",66
tt5687612,Fleabag,2,9.183333333333332,6,8.3,"17,160",243
tt2433738,Wentworth,3,9.15,12,8.5,"14,125",205
tt2243973,Hannibal,2,9.138461538461538,13,8.5,"201,191",186
tt3322312,Daredevil,3,9.138461538461538,13,8.6,"326,756",101
tt4158110,Mr. Robot,3,9.129999999999999,10,8.5,"275,557",185
tt0944947,Game of Thrones,1,9.120000000000001,10,9.4,"1,477,002",3
tt5288312,Skam,3,9.12,10,8.6,"23,011",127
tt0944947,Game of Thrones,6,9.12,10,9.4,"1,477,002",3
tt2442560,Peaky Blinders,4,9.100000000000001,6,8.7,"190,817",57
tt0944947,Game of Thrones,3,9.1,10,9.4,"1,477,002",3
tt2802850,Fargo,2,9.08,10,8.9,"269,673",26
tt2395695,Cosmos,1,9.076923076923077,13,9.2,"94,934",9
tt3230854,The Expanse,3,9.076923076923077,13,8.3,"68,988",239
tt0417373,The Venture Bros.,7,9.059999999999999,10,8.4,"21,798",209
tt3322312,Daredevil,2,9.046153846153846,13,8.6,"326,756",101
tt1586680,Shameless,4,9.041666666666668,12,8.6,"169,404",119
tt7221388,Cobra Kai,2,9.04,10,8.7,"31,144",58
tt1489428,Justified,6,9.038461538461538,13,8.5,"76,628",139
tt1870479,The Newsroom,3,9.033333333333333,6,8.5,"95,364",138
tt2433738,Wentworth,2,9.033333333333333,12,8.5,"14,125",205
tt1641384,Young Justice,3,9.030769230769232,13,8.6,"27,090",96
tt2149175,The Americans,6,9.030000000000001,10,8.3,"72,542",249
tt0944947,Game of Thrones,2,9.03,10,9.4,"1,477,002",3
tt2802850,Fargo,1,9.03,10,8.9,"269,673",26
tt1865718,Gravity Falls,2,9.019047619047617,21,8.8,"51,899",46
tt0773262,Dexter,4,9.0,12,8.6,"594,550",95
tt1475582,Sherlock,3,9.0,4,9.1,"698,423",17
tt2433738,Wentworth,5,8.991666666666665,12,8.5,"14,125",205
tt0072500,Fawlty Towers,2,8.983333333333333,6,8.8,"75,636",55
tt1641384,Young Justice,2,8.959999999999999,20,8.6,"27,090",96
tt1586680,Shameless,5,8.950000000000001,12,8.6,"169,404",119
tt0417373,The Venture Bros.,6,8.944444444444443,9,8.4,"21,798",209
tt1632701,Suits,4,8.94375,16,8.4,"324,466",226
tt2303687,Line of Duty,5,8.933333333333334,6,8.5,"19,206",142
tt0903747,Breaking Bad,4,8.923076923076923,13,9.4,"1,185,584",5
tt3032476,Better Call Saul,1,8.92,10,8.6,"245,742",84
tt2442560,Peaky Blinders,3,8.916666666666666,6,8.7,"190,817",57
tt1695360,The Legend of Korra,3,8.907692307692308,13,8.4,"85,000",216
tt0081846,Cosmos,1,8.907692307692308,13,9.2,"30,894",10
tt0417299,Avatar: The Last Airbender,3,8.904761904761903,21,9.1,"187,864",15
tt2243973,Hannibal,3,8.900000000000002,13,8.5,"201,191",186
tt2303687,Line of Duty,3,8.9,6,8.5,"19,206",142
tt0944947,Game of Thrones,5,8.9,10,9.4,"1,477,002",3
tt0773262,Dexter,2,8.9,12,8.6,"594,550",95
tt0773262,Dexter,1,8.891666666666667,12,8.6,"594,550",95
