Key,Title,Season,Rating Mean,Number of Episodes
tt3647998,Taboo,2,9.5,1
tt2560140,Attack on Titan,2,9.408333333333333,12
tt0118273,Brass Eye,2,9.4,1
tt4508902,One Punch Man,1,9.35,12
tt0944947,Game of Thrones,4,9.33,10
tt4269716,Umbre,2,9.316666666666668,6
tt7366338,Chernobyl,1,9.3,1
tt2356777,True Detective,1,9.3,8
tt0903747,Breaking Bad,5,9.293750000000003,16
tt0278238,Samurai Jack,5,9.28,10
tt0081912,Only Fools and Horses....,8,9.266666666666667,3
tt9253866,Our Planet,1,9.262500000000001,8
tt2560140,Attack on Titan,3,9.257142857142856,14
tt2433738,Wentworth,4,9.249999999999998,12
tt1475582,Sherlock,2,9.233333333333333,3
tt0081912,Only Fools and Horses....,6,9.214285714285714,7
tt0944947,Game of Thrones,7,9.214285714285714,7
tt1632701,Suits,5,9.20625,16
tt8595766,Yeh Meri Family,1,9.200000000000001,7
tt0290978,The Office,3,9.2,2
tt2560140,Attack on Titan,1,9.187999999999999,25
tt5687612,Fleabag,2,9.183333333333332,6
tt2433738,Wentworth,3,9.15,12
tt2243973,Hannibal,2,9.138461538461538,13
tt3322312,Daredevil,3,9.138461538461538,13
tt4158110,Mr. Robot,3,9.129999999999999,10
tt0944947,Game of Thrones,1,9.120000000000001,10
tt5288312,Skam,3,9.12,10
tt0944947,Game of Thrones,6,9.12,10
tt2442560,Peaky Blinders,4,9.100000000000001,6
tt0944947,Game of Thrones,3,9.1,10
tt2802850,Fargo,2,9.08,10
tt2395695,Cosmos,1,9.076923076923077,13
tt3230854,The Expanse,3,9.076923076923077,13
tt0417373,The Venture Bros.,7,9.059999999999999,10
tt3322312,Daredevil,2,9.046153846153846,13
tt1586680,Shameless,4,9.041666666666668,12
tt7221388,Cobra Kai,2,9.04,10
tt1489428,Justified,6,9.038461538461538,13
tt1870479,The Newsroom,3,9.033333333333333,6
tt2433738,Wentworth,2,9.033333333333333,12
